Package,Value,Rotation,LCSC Part Number
C_0402_1005Metric,0u1,0,C1525
C_0402_1005Metric,1u,0,C52923
C_0402_1005Metric,22p,0,C1555
C_0402_1005Metric,4u7,0,C23733
D_PowerDI-123,D_Schottky,0,C460871 
QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,ATmega32U4,0,C45874
R_0402_1005Metric,10k,0,C25744
R_0402_1005Metric,22,0,C25092
R_0402_1005Metric,5k1,0,C25905
USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB-C,0,C165948
Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,16MHz,1,C89371
